Average Diode Voltage (V),Average Current Through Diode (A),Diode 1 Voltage(V),Diode 2 Voltage(V),Diode 3 Voltage(V),Current Through Diode 1 (A),Current Through Diode 2 (A),Current Through Diode 3 (A),Input Voltage
nan,nan,nan,nan,nan,nan,nan,nan,1.573926314
nan,nan,nan,nan,nan,nan,nan,nan,1.592227783
nan,nan,nan,nan,nan,nan,nan,nan,1.610529251
nan,nan,nan,nan,nan,nan,nan,nan,1.62883072
nan,nan,nan,nan,nan,nan,nan,nan,1.665433658
nan,nan,nan,nan,nan,nan,nan,nan,1.683735126
nan,nan,nan,nan,nan,nan,nan,nan,1.702036595
nan,nan,nan,nan,nan,nan,nan,nan,1.720338064
nan,nan,nan,nan,nan,nan,nan,nan,1.738639533
nan,nan,nan,nan,nan,nan,nan,nan,1.756941001
nan,nan,nan,nan,nan,nan,nan,nan,1.77524247
nan,nan,nan,nan,nan,nan,nan,nan,1.793543939
nan,nan,nan,nan,nan,nan,nan,nan,1.811845408
nan,nan,nan,nan,nan,nan,nan,nan,1.830146877
nan,nan,nan,nan,nan,nan,nan,nan,1.848448345
nan,nan,nan,nan,nan,nan,nan,nan,1.866749814
nan,nan,nan,nan,nan,nan,nan,nan,1.885051283
nan,nan,nan,nan,nan,nan,nan,nan,1.903352752
nan,nan,nan,nan,nan,nan,nan,nan,1.939955689
nan,nan,nan,nan,nan,nan,nan,nan,1.958257158
nan,nan,nan,nan,nan,nan,nan,nan,1.976558627
nan,nan,nan,nan,nan,nan,nan,nan,1.994860095
nan,nan,nan,nan,nan,nan,nan,nan,2.013161564
nan,nan,nan,nan,nan,nan,nan,nan,2.031463033
nan,nan,nan,nan,nan,nan,nan,nan,2.049764502
nan,nan,nan,nan,nan,nan,nan,nan,2.068065971
nan,nan,nan,nan,nan,nan,nan,nan,2.086367439
nan,nan,nan,nan,nan,nan,nan,nan,2.104668908
nan,nan,nan,nan,nan,nan,nan,nan,2.122970377
nan,nan,nan,nan,nan,nan,nan,nan,2.141271846
nan,nan,nan,nan,nan,nan,nan,nan,2.159573314
nan,nan,nan,nan,nan,nan,nan,nan,2.177874783
nan,nan,nan,nan,nan,nan,nan,nan,2.214477721
nan,nan,nan,nan,nan,nan,nan,nan,2.232779189
nan,nan,nan,nan,nan,nan,nan,nan,2.251080658
nan,nan,nan,nan,nan,nan,nan,nan,2.269382127
nan,nan,nan,nan,nan,nan,nan,nan,2.287683596
nan,nan,nan,nan,nan,nan,nan,nan,2.305985064
nan,nan,nan,nan,nan,nan,nan,nan,2.324286533
nan,nan,nan,nan,nan,nan,nan,nan,2.342588002
nan,nan,nan,nan,nan,nan,nan,nan,2.360889471
nan,nan,nan,nan,nan,nan,nan,nan,2.37919094
nan,nan,nan,nan,nan,nan,nan,nan,2.397492408
nan,nan,nan,nan,nan,nan,nan,nan,2.415793877
nan,nan,nan,nan,nan,nan,nan,nan,2.434095346
nan,nan,nan,nan,nan,nan,nan,nan,2.452396815
nan,nan,nan,nan,nan,nan,nan,nan,2.488999752
nan,nan,nan,nan,nan,nan,nan,nan,2.507301221
nan,nan,nan,nan,nan,nan,nan,nan,2.52560269
nan,nan,nan,nan,nan,nan,nan,nan,2.543904158
nan,nan,nan,nan,nan,nan,nan,nan,2.562205627
nan,nan,nan,nan,nan,nan,nan,nan,2.580507096
nan,nan,nan,nan,nan,nan,nan,nan,2.598808565
nan,nan,nan,nan,nan,nan,nan,nan,2.617110033
nan,nan,nan,nan,nan,nan,nan,nan,2.635411502
nan,nan,nan,nan,nan,nan,nan,nan,2.653712971
nan,nan,nan,nan,nan,nan,nan,nan,2.67201444
nan,nan,nan,nan,nan,nan,nan,nan,2.690315909
nan,nan,nan,nan,nan,nan,nan,nan,2.708617377
nan,nan,nan,nan,nan,nan,nan,nan,2.726918846
nan,nan,nan,nan,nan,nan,nan,nan,2.763521784
nan,nan,nan,nan,nan,nan,nan,nan,2.781823252
nan,nan,nan,nan,nan,nan,nan,nan,2.800124721
nan,nan,nan,nan,nan,nan,nan,nan,2.81842619
nan,nan,nan,nan,nan,nan,nan,nan,2.836727659
nan,nan,nan,nan,nan,nan,nan,nan,2.855029127
nan,nan,nan,nan,nan,nan,nan,nan,2.873330596
nan,nan,nan,nan,nan,nan,nan,nan,2.891632065
nan,nan,nan,nan,nan,nan,nan,nan,2.909933534
nan,nan,nan,nan,nan,nan,nan,nan,2.928235002
nan,nan,nan,nan,nan,nan,nan,nan,2.946536471
nan,nan,nan,nan,nan,nan,nan,nan,2.96483794
nan,nan,nan,nan,nan,nan,nan,nan,2.983139409
nan,nan,nan,nan,nan,nan,nan,nan,3.001440878
nan,nan,nan,nan,nan,nan,nan,nan,3.038043815
nan,nan,nan,nan,nan,nan,nan,nan,3.056345284
nan,nan,nan,nan,nan,nan,nan,nan,3.074646753
nan,nan,nan,nan,nan,nan,nan,nan,3.092948221
nan,nan,nan,nan,nan,nan,nan,nan,3.11124969
nan,nan,nan,nan,nan,nan,nan,nan,3.129551159
nan,nan,nan,nan,nan,nan,nan,nan,3.147852628
nan,nan,nan,nan,nan,nan,nan,nan,3.166154096
nan,nan,nan,nan,nan,nan,nan,nan,3.184455565
nan,nan,nan,nan,nan,nan,nan,nan,3.202757034
nan,nan,nan,nan,nan,nan,nan,nan,3.221058503
nan,nan,nan,nan,nan,nan,nan,nan,3.239359971
nan,nan,nan,nan,nan,nan,nan,nan,3.25766144
nan,nan,nan,nan,nan,nan,nan,nan,3.275962909
nan,nan,nan,nan,nan,nan,nan,nan,3.312565847
nan,nan,nan,nan,nan,nan,nan,nan,3.330867315
nan,nan,nan,nan,nan,nan,nan,nan,3.349168784
nan,nan,nan,nan,nan,nan,nan,nan,3.367470253
nan,nan,nan,nan,nan,nan,nan,nan,3.385771722
nan,nan,nan,nan,nan,nan,nan,nan,3.40407319
