Average Diode Voltage (V),Average Current Through Diode (A),Diode 1 Voltage(V),Diode 2 Voltage(V),Diode 3 Voltage(V),Current Through Diode 1 (A),Current Through Diode 2 (A),Current Through Diode 3 (A),Input Voltage
0.0,0.00018301468765493308,0.0,0.0,0.0,0.00018301468765493308,0.00018301468765493308,0.00018301468765493308,-0.05490440629647991
0.0,0.0005490440629647991,0.0,0.0,0.0,0.0005490440629647991,0.0005490440629647991,0.0005490440629647991,-0.03660293753098661
0.0,0.00042703427119484384,0.0,0.0,0.0,0.0005490440629647991,0.0003660293753098661,0.0003660293753098661,0.0
0.024401958353991074,0.00036602937530986617,0.0,0.03660293753098661,0.03660293753098661,0.0003660293753098661,0.0003660293753098661,0.0003660293753098661,0.018301468765493305
0.04880391670798215,0.00036602937530986617,0.03660293753098661,0.05490440629647991,0.05490440629647991,0.0003660293753098661,0.00036602937530986617,0.00036602937530986617,0.03660293753098661
0.06710538547347546,0.00036602937530986606,0.05490440629647991,0.07320587506197322,0.07320587506197322,0.00036602937530986617,0.00036602937530986606,0.00036602937530986606,0.05490440629647991
0.08540685423896877,0.00036602937530986617,0.07320587506197322,0.09150734382746653,0.09150734382746653,0.00036602937530986606,0.00036602937530986617,0.00036602937530986617,0.07320587506197322
0.10370832300446205,0.00036602937530986617,0.09150734382746653,0.10980881259295983,0.10980881259295983,0.00036602937530986617,0.00036602937530986617,0.00036602937530986617,0.09150734382746653
0.12200979176995537,0.00036602937530986617,0.10980881259295983,0.12811028135845315,0.12811028135845315,0.00036602937530986617,0.00036602937530986617,0.00036602937530986617,0.10980881259295983
0.1403112605354487,0.00036602937530986617,0.12811028135845315,0.14641175012394644,0.14641175012394644,0.00036602937530986617,0.00036602937530986617,0.00036602937530986617,0.12811028135845315
0.16471321888943977,0.00036602937530986606,0.14641175012394644,0.18301468765493306,0.16471321888943977,0.00036602937530986617,0.0003660293753098659,0.00036602937530986617,0.14641175012394644
0.18911517724343083,0.00036602937530986617,0.16471321888943977,0.20131615642042638,0.20131615642042638,0.00036602937530986617,0.00036602937530986617,0.00036602937530986617,0.16471321888943977
0.2074166460089241,0.0003660293753098663,0.18301468765493306,0.21961762518591965,0.21961762518591965,0.0003660293753098659,0.00036602937530986644,0.00036602937530986644,0.18301468765493306
0.25012007312840856,0.000366029375309866,0.20131615642042638,0.2745220314823996,0.2745220314823996,0.00036602937530986617,0.0003660293753098659,0.0003660293753098659,0.20131615642042638
0.27452203148239956,0.0003050244794248887,0.21961762518591965,0.3111249690133862,0.2928235002478929,0.00036602937530986644,0.00018301468765493322,0.00036602937530986644,0.21961762518591965
0.29282350024789294,0.0004270342711948435,0.237919093951413,0.32942643777887953,0.3111249690133862,0.0005490440629647989,0.0003660293753098659,0.0003660293753098659,0.237919093951413
0.3233259481903818,0.0003050244794248882,0.2745220314823996,0.3660293753098661,0.32942643777887953,0.0003660293753098659,0.00018301468765493268,0.0003660293753098659,0.2562205627169063
0.3477279065443728,0.00024401958353991097,0.2928235002478929,0.3843308440753594,0.3660293753098661,0.00036602937530986644,0.0001830146876549338,0.00018301468765493268,0.2928235002478929
0.3721298648983639,0.0002440195835399106,0.3111249690133862,0.4209337816063461,0.3843308440753594,0.0003660293753098659,0.0001830146876549321,0.0001830146876549338,0.3111249690133862
0.39043133366385724,0.00036602937530986606,0.32942643777887953,0.4392352503718393,0.40263231284085277,0.0003660293753098659,0.00036602937530986703,0.00036602937530986535,0.32942643777887953
0.4148332920178483,0.0003660293753098663,0.3660293753098661,0.4575367191373326,0.4209337816063461,0.00036602937530986644,0.00036602937530986703,0.00036602937530986535,0.3477279065443728
0.43313476078334157,0.00036602937530986666,0.3843308440753594,0.475838187902826,0.4392352503718393,0.00036602937530986703,0.0003660293753098659,0.00036602937530986703,0.3660293753098661
0.45143622954883494,0.00036602937530986606,0.40263231284085277,0.4941396566683193,0.4575367191373326,0.00036602937530986535,0.0003660293753098659,0.00036602937530986703,0.3843308440753594
0.4697376983143282,0.00042703427119484324,0.4209337816063461,0.5124411254338126,0.475838187902826,0.00036602937530986535,0.0005490440629647986,0.0003660293753098659,0.40263231284085277
0.4941396566683193,0.00036602937530986617,0.4392352503718393,0.5490440629647992,0.4941396566683193,0.00036602937530986703,0.00036602937530986535,0.0003660293753098659,0.4209337816063461
0.5124411254338126,0.0004270342711948444,0.4575367191373326,0.5673455317302925,0.5124411254338126,0.00036602937530986703,0.0003660293753098676,0.0005490440629647986,0.4392352503718393
0.5368430837878037,0.00036602937530986584,0.475838187902826,0.5856470004957858,0.5490440629647992,0.0003660293753098659,0.00036602937530986644,0.00036602937530986535,0.4575367191373326
0.555144552553297,0.0003660293753098663,0.4941396566683193,0.6039484692612792,0.5673455317302925,0.0003660293753098659,0.00036602937530986535,0.0003660293753098676,0.475838187902826
0.5734460213187903,0.00042703427119484384,0.5124411254338126,0.6222499380267724,0.5856470004957858,0.0005490440629647986,0.00036602937530986644,0.00036602937530986644,0.4941396566683193
0.5978479796727814,0.00036602937530986535,0.5490440629647992,0.6405514067922657,0.6039484692612792,0.00036602937530986535,0.00036602937530986535,0.00036602937530986535,0.5124411254338126
0.6161494484382746,0.00036602937530986644,0.5673455317302925,0.6588528755577591,0.6222499380267724,0.0003660293753098676,0.00036602937530986535,0.00036602937530986644,0.5307425941993059
0.6344509172037679,0.00036602937530986644,0.5856470004957858,0.6771543443232523,0.6405514067922657,0.00036602937530986644,0.0003660293753098676,0.00036602937530986535,0.5673455317302925
