Average Diode Voltage (V),Average Current Through Diode (A),Diode 1 Voltage(V),Diode 2 Voltage(V),Diode 3 Voltage(V),Current Through Diode 1 (A),Current Through Diode 2 (A),Current Through Diode 3 (A),Input Voltage
-5.398933285820526,-0.00018301468765493506,-5.2708230044620725,-5.508742098413485,-5.417234754586018,-0.0003660293753098642,0.0003660293753098642,-0.0005490440629648052,-5.307425941993059
-5.264722514873575,0.0,-5.252521535696578,-5.2708230044620725,-5.2708230044620725,0.0003660293753098642,-0.0001830146876549321,-0.0001830146876549321,-5.289124473227566
-5.240320556519583,-6.10048958849833e-05,-5.215918598165592,-5.252521535696578,-5.252521535696578,0.0001830146876549321,-0.000183014687654941,-0.000183014687654941,-5.2708230044620725
-5.215918598165593,-0.00012200979176994883,-5.1793156606346065,-5.234220066931086,-5.234220066931086,0.0,-0.00018301468765492324,-0.00018301468765492324,-5.252521535696578
-5.185416150223103,0.0,-5.142712723103619,-5.215918598165592,-5.197617129400099,0.0,0.0,0.0,-5.215918598165592
-5.154913702280615,6.1004895884983285e-05,-5.124411254338126,-5.1793156606346065,-5.161014191869112,0.0003660293753098731,-0.00018301468765492324,0.0,-5.197617129400099
-5.124411254338126,-6.100489588497737e-05,-5.069506848041646,-5.161014191869112,-5.142712723103619,-0.0003660293753098642,0.0,0.0001830146876549321,-5.1793156606346065
-5.106109785572633,-2.9634859381270453e-18,-5.051205379276152,-5.142712723103619,-5.124411254338126,-0.000183014687654941,0.0,0.0001830146876549321,-5.161014191869112
-5.081707827218642,6.100489588498033e-05,-5.032903910510659,-5.106109785572633,-5.106109785572633,0.0,0.0,0.000183014687654941,-5.142712723103619
-5.051205379276153,6.1004895884983285e-05,-5.014602441745166,-5.069506848041646,-5.069506848041646,0.0001830146876549321,-0.00018301468765492324,0.000183014687654941,-5.124411254338126
-5.032903910510659,-2.9634859381270453e-18,-4.996300972979673,-5.051205379276152,-5.051205379276152,0.0001830146876549321,0.0,-0.000183014687654941,-5.106109785572633
