Average Diode Voltage (V),Average Current Through Diode (A),Diode 1 Voltage(V),Diode 2 Voltage(V),Diode 3 Voltage(V),Current Through Diode 1 (A),Current Through Diode 2 (A),Current Through Diode 3 (A),Input Voltage
0.2562205627169063,-0.0012080177402965873,0.2562205627169063,0.2562205627169063,0.2562205627169063,-0.0018120266104448808,0.0,-0.0018120266104448808,0.237919093951413
0.2745220314823996,0.0,0.2745220314823996,0.2745220314823996,0.2745220314823996,0.0,0.0,0.0,0.2562205627169063
0.2928235002478929,0.0,0.2928235002478929,0.2928235002478929,0.2928235002478929,0.0,0.0,0.0,0.2745220314823996
0.3111249690133862,0.001208017740296589,0.3111249690133862,0.3111249690133862,0.3111249690133862,0.0,0.0018120266104448834,0.0018120266104448834,0.2928235002478929
0.32942643777887953,0.001812026610444878,0.32942643777887953,0.32942643777887953,0.32942643777887953,0.001812026610444878,0.001812026610444878,0.001812026610444878,0.3111249690133862
0.3477279065443728,0.0018120266104448834,0.3477279065443728,0.3477279065443728,0.3477279065443728,0.0018120266104448834,0.0018120266104448834,0.0018120266104448834,0.32942643777887953
0.37823035448686165,0.0024160354805931815,0.3660293753098661,0.3843308440753594,0.3843308440753594,0.003624053220889767,0.001812026610444889,0.001812026610444889,0.3477279065443728
0.396531823252355,0.004832070961186353,0.3843308440753594,0.40263231284085277,0.40263231284085277,0.0036240532208897725,0.007248106441779529,0.003624053220889756,0.3660293753098661
0.41483329201784835,0.0072481064417795294,0.40263231284085277,0.4209337816063461,0.4209337816063461,0.007248106441779529,0.007248106441779529,0.007248106441779529,0.3843308440753594
0.43313476078334157,0.010268150792521002,0.4209337816063461,0.4392352503718393,0.4392352503718393,0.009060133052224407,0.0108721596626693,0.0108721596626693,0.40263231284085277
0.4636372087258304,0.013892204013410759,0.4392352503718393,0.475838187902826,0.475838187902826,0.012684186273114174,0.014496212883559052,0.014496212883559052,0.4209337816063461
0.4880391670798216,0.020536301585041994,0.475838187902826,0.4941396566683193,0.4941396566683193,0.016308239494003934,0.023556345935783457,0.021744319325338584,0.4392352503718393
0.5063406358453149,0.029596434637266408,0.4941396566683193,0.5124411254338126,0.5124411254338126,0.023556345935783457,0.03261647898800788,0.03261647898800788,0.475838187902826
0.5246421046108081,0.042280620910380574,0.5124411254338126,0.5307425941993059,0.5307425941993059,0.034428505598452765,0.04530066526112205,0.047112691871566914,0.4941396566683193
0.5429435733763015,0.0604008870148294,0.5307425941993059,0.5490440629647992,0.5490440629647992,0.05073674509245668,0.06523295797601576,0.06523295797601576,0.5124411254338126
0.5612450421417947,0.08395723295061286,0.5490440629647992,0.5673455317302925,0.5673455317302925,0.07066903780735038,0.09060133052224409,0.09060133052224409,0.5307425941993059
0.579546510907288,0.11294965871773098,0.5673455317302925,0.5856470004957858,0.5856470004957858,0.09784943696402362,0.12140578289980712,0.1195937562893622,0.5490440629647992
0.5978479796727814,0.15100221753707352,0.5856470004957858,0.6039484692612792,0.6039484692612792,0.13046591595203152,0.1612703683295945,0.1612703683295945,0.5673455317302925
0.6161494484382747,0.19690689166834385,0.6039484692612792,0.6222499380267724,0.6222499380267724,0.16851847477137402,0.2120071134220512,0.2101950868116063,0.5856470004957858
0.634450917203768,0.2500596722413937,0.6222499380267724,0.6405514067922657,0.6405514067922657,0.22831535291605512,0.2627438585145078,0.25911980529361817,0.6039484692612792
0.6527523859692613,0.3050244794248885,0.6405514067922657,0.6588528755577591,0.6588528755577591,0.277240071398067,0.3207287100487441,0.3171046568278543,0.6222499380267724
0.6710538547347545,0.3690494196606076,0.6588528755577591,0.6771543443232523,0.6771543443232523,0.3334128963218582,0.3877736946352047,0.3859616680247599,0.6405514067922657
nan,nan,0.6771543443232523,nan,nan,0.4040819341292087,nan,nan,0.6588528755577591
nan,nan,nan,nan,nan,nan,nan,nan,0.6771543443232523
