Average Diode Voltage (V),Average Current Through Diode (A),Diode 1 Voltage(V),Diode 2 Voltage(V),Diode 3 Voltage(V),Current Through Diode 1 (A),Current Through Diode 2 (A),Current Through Diode 3 (A),Input Voltage
0.0,-0.00012200979176995544,0.0,0.0,0.0,-0.00018301468765493308,-0.00018301468765493322,0.0,-0.07320587506197322
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05490440629647991
0.0061004895884977685,0.0,0.018301468765493305,0.0,0.0,0.0,0.00018301468765493308,-0.00018301468765493308,-0.03660293753098661
0.012200979176995537,-0.00018301468765493308,0.03660293753098661,0.0,0.0,0.0,-0.00018301468765493308,-0.0003660293753098661,0.0
0.024401958353991074,-0.00012200979176995538,0.05490440629647991,0.0,0.018301468765493305,0.0,-0.0003660293753098661,0.0,0.018301468765493305
0.04880391670798215,0.0,0.07320587506197322,0.03660293753098661,0.03660293753098661,0.0,0.0,0.0,0.03660293753098661
0.06710538547347546,0.0,0.09150734382746653,0.05490440629647991,0.05490440629647991,0.0,0.0,0.0,0.05490440629647991
0.08540685423896877,0.0,0.10980881259295983,0.07320587506197322,0.07320587506197322,0.0,0.0,0.0,0.07320587506197322
0.10370832300446207,0.0,0.12811028135845315,0.09150734382746653,0.09150734382746653,0.0,0.0,0.0,0.09150734382746653
0.12200979176995537,0.0,0.14641175012394644,0.10980881259295983,0.10980881259295983,0.0,0.0,0.0,0.10980881259295983
0.14641175012394647,0.0,0.16471321888943977,0.12811028135845315,0.14641175012394644,0.0,0.0,0.0,0.12811028135845315
0.16471321888943977,0.0,0.18301468765493306,0.14641175012394644,0.16471321888943977,0.0,0.0,0.0,0.14641175012394644
0.1830146876549331,0.0,0.20131615642042638,0.16471321888943977,0.18301468765493306,0.0,0.0,0.0,0.16471321888943977
0.20741664600892418,0.0,0.237919093951413,0.18301468765493306,0.20131615642042638,0.0,0.0,0.0,0.18301468765493306
0.23181860436291524,0.0,0.2562205627169063,0.20131615642042638,0.237919093951413,0.0,0.0,0.0,0.20131615642042638
0.2562205627169063,0.0,0.2745220314823996,0.237919093951413,0.2562205627169063,0.0,0.0,0.0,0.237919093951413
0.2745220314823996,0.0,0.2928235002478929,0.2562205627169063,0.2745220314823996,0.0,0.0,0.0,0.2562205627169063
0.29282350024789294,0.0,0.3111249690133862,0.2745220314823996,0.2928235002478929,0.0,0.0,0.0,0.2745220314823996
0.3111249690133862,0.0,0.32942643777887953,0.2928235002478929,0.3111249690133862,0.0,0.0,0.0,0.2928235002478929
0.3355269273673773,0.0,0.3477279065443728,0.32942643777887953,0.32942643777887953,0.0,0.0,0.0,0.3111249690133862
0.35382839613287054,0.0,0.3660293753098661,0.3477279065443728,0.3477279065443728,0.0,0.0,0.0,0.32942643777887953
0.3721298648983639,0.0,0.3843308440753594,0.3660293753098661,0.3660293753098661,0.0,0.0,0.0,0.3477279065443728
0.3904313336638572,0.0,0.40263231284085277,0.3843308440753594,0.3843308440753594,0.0,0.0,0.0,0.3660293753098661
0.40873280242935056,0.0,0.4209337816063461,0.40263231284085277,0.40263231284085277,0.0,0.0,0.0,0.3843308440753594
0.42703427119484383,0.0,0.4392352503718393,0.4209337816063461,0.4209337816063461,0.0,0.0,0.0,0.40263231284085277
0.45143622954883483,0.0,0.475838187902826,0.4392352503718393,0.4392352503718393,0.0,0.0,0.0,0.4209337816063461
0.48193867749132374,0.0,0.4941396566683193,0.475838187902826,0.475838187902826,0.0,0.0,0.0,0.4392352503718393
0.5002401462568171,0.0,0.5124411254338126,0.4941396566683193,0.4941396566683193,0.0,0.0,0.0,0.475838187902826
0.5185416150223103,0.0,0.5307425941993059,0.5124411254338126,0.5124411254338126,0.0,0.0,0.0,0.4941396566683193
0.5368430837878037,0.0,0.5490440629647992,0.5307425941993059,0.5307425941993059,0.0,0.0,0.0,0.5124411254338126
0.555144552553297,0.0,0.5673455317302925,0.5490440629647992,0.5490440629647992,0.0,0.0,0.0,0.5307425941993059
0.5734460213187902,0.0,0.5856470004957858,0.5673455317302925,0.5673455317302925,0.0,0.0,0.0,0.5490440629647992
0.5917474900842836,0.0,0.6039484692612792,0.5856470004957858,0.5856470004957858,0.0,0.0,0.0,0.5673455317302925
0.610048958849777,0.0,0.6222499380267724,0.6039484692612792,0.6039484692612792,0.0,0.0,0.0,0.5856470004957858
0.6283504276152702,0.0,0.6405514067922657,0.6222499380267724,0.6222499380267724,0.0,0.0,0.0,0.6039484692612792
0.6466518963807635,0.0,0.6588528755577591,0.6405514067922657,0.6405514067922657,0.0,0.0,0.0,0.6222499380267724
0.6649533651462568,0.0,0.6771543443232523,0.6588528755577591,0.6588528755577591,0.0,0.0,0.0,0.6405514067922657
0.6893553235002479,0.0,0.713757281854239,0.6771543443232523,0.6771543443232523,0.0,0.0,0.0,0.6588528755577591
0.7198577714427369,0.0,0.7320587506197322,0.713757281854239,0.713757281854239,0.0,0.0,0.0,0.6771543443232523
0.7381592402082301,0.0,0.7503602193852256,0.7320587506197322,0.7320587506197322,0.0,0.0,0.0,0.713757281854239
0.7564607089737233,0.0,0.7686616881507188,0.7503602193852256,0.7503602193852256,0.0,0.0,0.0,0.7320587506197322
0.7747621777392166,0.0,0.7869631569162121,0.7686616881507188,0.7686616881507188,0.0,0.0,0.0,0.7503602193852256
0.79306364650471,0.0,0.8052646256817055,0.7869631569162121,0.7869631569162121,0.0,0.0,0.0,0.7686616881507188
0.8113651152702032,0.0,0.8235660944471987,0.8052646256817055,0.8052646256817055,0.0,0.0,0.0,0.7869631569162121
